Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                         39,0          39          39         0,0           1
login#beforeShow                                         3,0           3           3         0,0           1
login#create                                           205,0         205         205         0,0           1
login#init                                              28,0          28          28         0,0           1
login#inject                                            49,0          49          49         0,0           1
login#load                                             712,0         712         712         0,0           1
login#uiPermissions                                      1,0           1           1         0,0           1
login#xml                                                8,0           8           8         0,0           1

Performance Statistics   2020-07-22 09:46:00 - 2020-07-22 09:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.medications_MedicationEntity.browse           503,0         503         503         0,0           1
main#afterShow                                        1821,0        1821        1821         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             50,0          50          50         0,0           1
main#init                                               34,0          34          34         0,0           1
main#inject                                             10,0          10          10         0,0           1
main#load                                              444,0         444         444         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 5,0           5           5         0,0           1
medications_MedicationEntity.browse#afterShow            0,0           0           0         0,0           1
medications_MedicationEntity.browse#beforeShow          22,0          22          22         0,0           1
medications_MedicationEntity.browse#create               4,0           4           4         0,0           1
medications_MedicationEntity.browse#init                 0,0           0           0         0,0           1
medications_MedicationEntity.browse#inject               0,0           0           0         0,0           1
medications_MedicationEntity.browse#load               391,0         391         391         0,0           1
medications_MedicationEntity.browse#uiPermissions         0,0           0           0         0,0           1
medications_MedicationEntity.browse#xml                  2,0           2           2         0,0           1
medications_RegistrationStatus.browse#afterShow          0,0           0           0         0,0           1
medications_RegistrationStatus.browse#beforeShow       246,0         246         246         0,0           1
medications_RegistrationStatus.browse#create            22,0          22          22         0,0           1
medications_RegistrationStatus.browse#init               6,0           6           6         0,0           1
medications_RegistrationStatus.browse#inject             1,0           1           1         0,0           1
medications_RegistrationStatus.browse#load            1342,0        1342        1342         0,0           1
medications_RegistrationStatus.browse#uiPermissions         0,0           0           0         0,0           1
medications_RegistrationStatus.browse#xml                4,0           4           4         0,0           1

Performance Statistics   2020-07-22 09:48:00 - 2020-07-22 09:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.entityInspector.browse                        299,0         299         299         0,0           1
MenuItem.sec$Role.browse                               328,0         328         328         0,0           1
aboutWindow#xml                                          2,0           2           2         0,0           1
addCondition#xml                                         2,0           2           2         0,0           1
appProperties#xml                                        2,0           2           2         0,0           1
appPropertiesExport#xml                                  4,0           4           4         0,0           1
appPropertyEditor#xml                                    1,0           1           1         0,0           1
attributesLocationFrame#xml                              1,0           1           1         0,0           1
